time,altitude,sound_time
1479754101,75.53318667,1220
1479754102,81.37895609,1220
1479754103,88.11991243,1210
1479754105,92.21027684,1220
1479754106,97.74315185,1220
1479754107,107.0347033,1220
1479754108,113.5719861,1220
1479754110,113.5719861,1220
1479754111,120.1526638,1220
1479754112,135.4334103,1210
1479754113,140.4674377,1220
1479754119,140.4674377,1220
1479754120,140.4674377,1220
1479754120,140.4674377,1210
1479754120,140.4674377,1220
1479754120,140.4674377,1220
1479754121,140.4674377,1210
1479754122,183.6769963,1220
1479754123,189.4292654,1220
1479754125,195.007693,1360
1479754126,201.3491284,1220
1479754127,207.6137422,1220
1479754128,220.4058389,1220
1479754129,220.4058389,1360
1479754131,225.5366031,1220
1479754132,231.9490341,1220
1479754133,244.0304483,1220
1479754134,250.8351175,1220
1479754136,257.9367434,1210
1479754137,264.3137023,1210
1479754138,278.7135615,1220
1479754139,278.7135615,1220
1479754141,284.2521768,1220
1479754142,291.2957866,1220
1479754143,302.9481005,1220
1479754144,308.7600324,1220
1479754146,313.6216795,1220
1479754147,313.6216795,1220
1479754148,323.8370497,1220
1479754149,336.4755792,1220
1479754150,342.8770444,1220
1479754152,342.8770444,1360
1479754153,354.8344369,1220
1479754154,368.486307,1220
1479754155,375.0468134,1220
1479754157,375.0468134,1370
1479754158,379.6880519,1220
1479754159,389.9172168,1220
1479754160,395.9150295,1210
1479754162,402.8421248,1220
1479754163,407.1247807,1220
1479754164,418.0015362,1130
1479754165,423.4139274,1130
1479754167,423.4139274,1370
1479754168,430.3266835,1130
1479754169,443.7244355,1130
1479754170,450.6766686,1120
1479754171,456.4653458,1370
1479754173,462.1560656,1130
1479754174,468.6086436,1120
1479754175,474.4670022,1130
1479754176,479.7160621,1130
1479754178,484.123823,1130
1479754179,488.2743797,1120
1479754180,499.0805364,1130
1479754182,499.0805364,1130
1479754183,499.0805364,1130
1479754184,512.9865849,1130
1479754185,527.0596088,1130
1479754186,534.0765246,1130
1479754188,539.5795396,1130
1479754189,539.5795396,1130
1479754190,551.5634361,1130
1479754191,557.70197,1130
1479754192,565.468131,1130
1479754194,572.8451107,1130
1479754195,577.631406,1130
1479754196,586.9351432,1130
1479754197,586.9351432,1130
1479754199,592.987791,1130
1479754200,600.3851057,1130
1479754201,612.9685795,1130
1479754202,618.3005807,1130
1479754204,623.6176684,1130
1479754205,628.5402036,1130
1479754206,635.2184889,1130
1479754207,641.8286811,1120
1479754209,648.2211061,1130
1479754210,654.3549279,1130
1479754213,660.5842507,1130
1479754213,660.5842507,1130
