time,exterior_pressure,exterior_humidity,exterior_temperature,estimated_altitude,sound_time,blue_voltage,red_voltage,white_voltage
1479753592.318924,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753593.55243,71014.7,60.24,21.99,2900.0,1130.0,339,0,0
1479753594.788513,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753596.022258,71014.7,60.24,21.99,2900.0,1120.0,340,0,0
1479753597.258342,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753598.491839,71014.7,60.24,21.99,2900.0,1120.0,340,0,0
1479753599.727912,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753600.961291,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753602.198611,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753603.431076,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753604.668402,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753605.900902,71014.7,60.24,21.99,2900.0,1120.0,341,0,0
1479753607.13699,71014.7,60.24,21.99,2900.0,1120.0,341,0,0
1479753608.370687,71014.7,60.24,21.99,2900.0,1120.0,341,0,0
1479753609.602972,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753610.840271,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753612.072884,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753613.310072,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753614.542684,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753615.779891,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753617.012394,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753618.245913,71014.7,60.24,21.99,2900.0,1130.0,341,0,0
1479753619.481947,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753620.71542,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753621.952837,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753623.185218,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753624.421286,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753625.655044,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753626.891109,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753628.124829,71014.7,60.24,21.99,2900.0,1130.0,339,0,0
1479753629.357075,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753630.5945,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753631.82687,71014.7,60.24,21.99,2900.0,1130.0,340,0,0
1479753633.064194,71014.7,60.24,21.99,2900.0,1130.0,339,0,0
